report_year,division,total_cases
2014,D11,4979
2014,D12,4521
2014,D13,3677
2014,D14,8264
2014,D22,7038
2014,D23,6215
2014,D31,6816
2014,D32,8387
2014,D33,5049
2014,D41,8442
2014,D42,5918
2014,D43,7835
2014,D51,8800
2014,D52,11246
2014,D53,5672
2014,D55,9690
2014,NSA,883
2015,D11,5351
2015,D12,4840
2015,D13,3822
2015,D14,8533
2015,D22,7187
2015,D23,5912
2015,D31,6944
2015,D32,8545
2015,D33,5279
2015,D41,9178
2015,D42,6325
2015,D43,8368
2015,D51,8867
2015,D52,11635
2015,D53,5697
2015,D55,10012
2015,NSA,870
2016,D11,5576
2016,D12,4730
2016,D13,4145
2016,D14,9260
2016,D22,7346
2016,D23,6099
2016,D31,7223
2016,D32,9387
2016,D33,5398
2016,D41,9116
2016,D42,6273
2016,D43,8460
2016,D51,10244
2016,D52,11725
2016,D53,6018
2016,D55,10217
2016,NSA,1409
2017,D11,5784
2017,D12,4784
2017,D13,4115
2017,D14,10165
2017,D22,8012
2017,D23,6283
2017,D31,7641
2017,D32,9670
2017,D33,5547
2017,D41,8786
2017,D42,6723
2017,D43,9336
2017,D51,12459
2017,D52,12623
2017,D53,6454
2017,D55,9888
2017,NSA,1700
2018,D11,6421
2018,D12,4987
2018,D13,4604
2018,D14,11309
2018,D22,8601
2018,D23,6636
2018,D31,7766
2018,D32,10197
2018,D33,5466
2018,D41,9393
2018,D42,6937
2018,D43,9549
2018,D51,15809
2018,D52,14399
2018,D53,7491
2018,D55,11682
2018,NSA,1957
2019,D11,6568
2019,D12,4950
2019,D13,4752
2019,D14,11191
2019,D22,8906
2019,D23,6658
2019,D31,8303
2019,D32,11055
2019,D33,5846
2019,D41,9507
2019,D42,7229
2019,D43,9103
2019,D51,15015
2019,D52,14356
2019,D53,7590
2019,D55,10877
2019,NSA,2626
2020,D11,5583
2020,D12,4519
2020,D13,4724
2020,D14,9188
2020,D22,7504
2020,D23,5513
2020,D31,7310
2020,D32,9819
2020,D33,5013
2020,D41,7573
2020,D42,5975
2020,D43,7203
2020,D51,11600
2020,D52,8992
2020,D53,7081
2020,D55,9368
2020,NSA,1595
2021,D11,5550
2021,D12,4501
2021,D13,4201
2021,D14,9754
2021,D22,7272
2021,D23,5946
2021,D31,7144
2021,D32,9340
2021,D33,5298
2021,D41,7895
2021,D42,6059
2021,D43,7060
2021,D51,12362
2021,D52,8967
2021,D53,7402
2021,D55,10192
2021,NSA,1423
2022,D11,6734
2022,D12,5326
2022,D13,4672
2022,D14,11014
2022,D22,10434
2022,D23,7081
2022,D31,7789
2022,D32,12479
2022,D33,5939
2022,D41,9189
2022,D42,900
